Entity,Code,Year,CO2_per_capita
Afghanistan,AFG,2023,0.26583755
Africa,,2023,0.9592574
Albania,ALB,2023,1.8296527
Algeria,DZA,2023,3.8586802
Andorra,AND,2023,5.244343
Angola,AGO,2023,0.56545913
Anguilla,AIA,2023,10.043082
Antigua and Barbuda,ATG,2023,6.911837
Argentina,ARG,2023,4.2998033
Armenia,ARM,2023,2.584923
Aruba,ABW,2023,8.036588
Asia,,2023,4.7313886
Asia (excl. China and India),,2023,3.9850643
Australia,AUS,2023,14.478505
Austria,AUT,2023,6.415725
Azerbaijan,AZE,2023,4.2582173
Bahamas,BHS,2023,6.272632
Bahrain,BHR,2023,23.271013
Bangladesh,BGD,2023,0.6615086
Barbados,BRB,2023,4.2215004
Belarus,BLR,2023,6.197136
Belgium,BEL,2023,7.1177025
Belize,BLZ,2023,1.6247674
Benin,BEN,2023,0.3963094
Bermuda,BMU,2023,8.079226
Bhutan,BTN,2023,2.178551
Bolivia,BOL,2023,1.9078085
Bonaire Sint Eustatius and Saba,BES,2023,3.8460999
Bosnia and Herzegovina,BIH,2023,6.3356104
Botswana,BWA,2023,2.7068784
Brazil,BRA,2023,2.3040092
British Virgin Islands,VGB,2023,4.7567644
Brunei,BRN,2023,25.646858
Bulgaria,BGR,2023,5.311196
Burkina Faso,BFA,2023,0.2686812
Burundi,BDI,2023,0.05184301
Cambodia,KHM,2023,1.1580942
Cameroon,CMR,2023,0.3503871
Canada,CAN,2023,13.977411
Cape Verde,CPV,2023,1.0242758
Central African Republic,CAF,2023,0.054579318
Chad,TCD,2023,0.15939671
Chile,CHL,2023,3.9314575
China,CHN,2023,8.366814
Colombia,COL,2023,2.0114
Comoros,COM,2023,0.52771086
Congo,COG,2023,1.2412342
Cook Islands,COK,2023,5.1297364
Costa Rica,CRI,2023,1.621601
Cote d'Ivoire,CIV,2023,0.42340288
Croatia,HRV,2023,4.497998
Cuba,CUB,2023,2.0959787
Curacao,CUW,2023,10.914814
Cyprus,CYP,2023,5.3342433
Czechia,CZE,2023,7.92107
Democratic Republic of Congo,COD,2023,0.0436333
Denmark,DNK,2023,4.5837965
Djibouti,DJI,2023,0.42721647
Dominica,DMA,2023,2.4528415
Dominican Republic,DOM,2023,2.8257916
East Timor,TLS,2023,0.45665762
Ecuador,ECU,2023,2.4011562
Egypt,EGY,2023,2.3486664
El Salvador,SLV,2023,1.304408
Equatorial Guinea,GNQ,2023,3.3241498
Eritrea,ERI,2023,0.17887679
Estonia,EST,2023,7.3282313
Eswatini,SWZ,2023,0.8973983
Ethiopia,ETH,2023,0.118322685
Europe,,2023,6.688105
Europe (excl. EU-27),,2023,8.389255
Europe (excl. EU-28),,2023,9.582038
European Union (27),,2023,5.571036
European Union (28),,2023,5.4218297
Faroe Islands,FRO,2023,14.5845785
Fiji,FJI,2023,1.2402701
Finland,FIN,2023,5.6456437
France,FRA,2023,4.101157
French Polynesia,PYF,2023,3.2594645
Gabon,GAB,2023,2.1776652
Gambia,GMB,2023,0.26351094
Georgia,GEO,2023,3.091041
Germany,DEU,2023,7.051025
Ghana,GHA,2023,0.5814861
Greece,GRC,2023,5.388754
Greenland,GRL,2023,10.670095
Grenada,GRD,2023,2.8993738
Guatemala,GTM,2023,1.1245548
Guinea,GIN,2023,0.28064337
Guinea-Bissau,GNB,2023,0.13839415
Guyana,GUY,2023,4.290242
Haiti,HTI,2023,0.3026484
High-income countries,,2023,9.956884
Honduras,HND,2023,1.0373338
Hong Kong,HKG,2023,4.550918
Hungary,HUN,2023,4.1491246
Iceland,ISL,2023,9.708997
India,IND,2023,2.129469
Indonesia,IDN,2023,2.6075745
Iran,IRN,2023,9.026508
Iraq,IRQ,2023,3.9148493
Ireland,IRL,2023,6.6260405
Israel,ISR,2023,6.4269466
Italy,ITA,2023,5.2682986
Jamaica,JAM,2023,2.6934605
Japan,JPN,2023,7.95029
Jordan,JOR,2023,1.8523093
Kazakhstan,KAZ,2023,12.550943
Kenya,KEN,2023,0.38907567
Kiribati,KIR,2023,0.5207707
Kosovo,OWID_KOS,2023,4.9275312
Kuwait,KWT,2023,20.508173
Kyrgyzstan,KGZ,2023,1.4352694
Laos,LAO,2023,3.235021
Latvia,LVA,2023,3.4600034
Lebanon,LBN,2023,3.3732815
Lesotho,LSO,2023,1.6824147
Liberia,LBR,2023,0.14036113
Libya,LBY,2023,8.346452
Liechtenstein,LIE,2023,3.9732652
Lithuania,LTU,2023,4.366298
Low-income countries,,2023,0.26692328
Lower-middle-income countries,,2023,1.5847771
Luxembourg,LUX,2023,10.5150585
Macao,MAC,2023,1.4813592
Madagascar,MDG,2023,0.14349261
Malawi,MWI,2023,0.08303524
Malaysia,MYS,2023,8.2224455
Maldives,MDV,2023,3.9210675
Mali,MLI,2023,0.2844733
Malta,MLT,2023,3.4193249
Marshall Islands,MHL,2023,3.9515243
Mauritania,MRT,2023,0.8785841
Mauritius,MUS,2023,3.249939
Mexico,MEX,2023,3.7199361
Micronesia (country),FSM,2023,1.3276674
Moldova,MDA,2023,1.9439814
Mongolia,MNG,2023,13.657199
Montenegro,MNE,2023,3.6754034
Montserrat,MSR,2023,5.056857
Morocco,MAR,2023,1.82082
Mozambique,MOZ,2023,0.23854187
Myanmar,MMR,2023,0.5584913
Namibia,NAM,2023,1.408754
Nauru,NRU,2023,4.8522363
Nepal,NPL,2023,0.56162494
Netherlands,NLD,2023,6.558991
New Caledonia,NCL,2023,17.48445
New Zealand,NZL,2023,5.8226275
Nicaragua,NIC,2023,0.8189818
Niger,NER,2023,0.09929863
Nigeria,NGA,2023,0.5640604
Niue,NIU,2023,4.238253
North America,,2023,10.12815
North America (excl. USA),,2023,4.64198
North Korea,PRK,2023,2.3000948
North Macedonia,MKD,2023,4.0665092
Norway,NOR,2023,7.0484023
Oceania,,2023,9.498823
Oman,OMN,2023,15.5492115
Pakistan,PAK,2023,0.8107599
Palau,PLW,2023,12.556051
Palestine,PSE,2023,0.64647776
Panama,PAN,2023,3.1440282
Papua New Guinea,PNG,2023,0.8009956
Paraguay,PRY,2023,1.189241
Peru,PER,2023,1.6505452
Philippines,PHL,2023,1.3454357
Poland,POL,2023,7.4628654
Portugal,PRT,2023,3.5690997
Qatar,QAT,2023,38.842007
Romania,ROU,2023,3.569303
Russia,RUS,2023,12.485692
Rwanda,RWA,2023,0.110374995
Saint Helena,SHN,2023,2.105283
Saint Kitts and Nevis,KNA,2023,4.9948015
Saint Lucia,LCA,2023,2.85322
Saint Pierre and Miquelon,SPM,2023,9.798696
Saint Vincent and the Grenadines,VCT,2023,2.3416662
Samoa,WSM,2023,1.1855699
Sao Tome and Principe,STP,2023,0.7198723
Saudi Arabia,SAU,2023,22.132036
Senegal,SEN,2023,0.6583115
Serbia,SRB,2023,6.253774
Seychelles,SYC,2023,4.3078337
Sierra Leone,SLE,2023,0.14556001
Singapore,SGP,2023,8.507941
Sint Maarten (Dutch part),SXM,2023,16.216665
Slovakia,SVK,2023,5.5706987
Slovenia,SVN,2023,5.347735
Solomon Islands,SLB,2023,0.37855327
Somalia,SOM,2023,0.03037349
South Africa,ZAF,2023,6.3578267
South America,,2023,2.5627966
South Korea,KOR,2023,11.158091
South Sudan,SSD,2023,0.13763057
Spain,ESP,2023,4.6255174
Sri Lanka,LKA,2023,0.88446397
Sudan,SDN,2023,0.39968732
Suriname,SUR,2023,4.2100472
Sweden,SWE,2023,3.464577
Switzerland,CHE,2023,3.6905727
Syria,SYR,2023,1.0808959
Taiwan,TWN,2023,11.200046
Tajikistan,TJK,2023,0.8714852
Tanzania,TZA,2023,0.27119046
Thailand,THA,2023,3.6873055
Togo,TGO,2023,0.28159434
Tonga,TON,2023,1.9062879
Trinidad and Tobago,TTO,2023,22.834675
Tunisia,TUN,2023,2.6878552
Turkey,TUR,2023,4.9510155
Turkmenistan,TKM,2023,8.603915
Turks and Caicos Islands,TCA,2023,8.026466
Tuvalu,TUV,2023,1.174908
Uganda,UGA,2023,0.1153731
Ukraine,UKR,2023,3.6164997
United Arab Emirates,ARE,2023,21.554457
United Kingdom,GBR,2023,4.4428277
United States,USA,2023,14.299027
Upper-middle-income countries,,2023,6.1474814
Uruguay,URY,2023,2.3216877
Uzbekistan,UZB,2023,3.4995937
Vanuatu,VUT,2023,0.7059308
Venezuela,VEN,2023,3.5182343
Vietnam,VNM,2023,3.335515
Wallis and Futuna,WLF,2023,2.6994717
World,OWID_WRL,2023,4.6703916
Yemen,YEM,2023,0.2547525
Zambia,ZMB,2023,0.37391192
Zimbabwe,ZWE,2023,0.68320066
